Unit: MW/($/MWh),Fraction of start year capacity
hard coal,0.0
natural gas steam turbine,0.013399999999999999
natural gas combined cycle,13.989605213708547
nuclear,4.267995577229572
hydro,0.0
onshore wind,1.628002759279942
solar PV,0.21299999999999886
solar thermal,0.0
biomass,0.0
geothermal,0.0
petroleum,0.06380000000000065
natural gas peaker,0.5594713205044393
lignite,0.0
offshore wind,0.0
crude oil,0.0
heavy or residual fuel oil,0.0
municipal solid waste,0.0
hard coal w CCS,0.0
natural gas combined cycle w CCS,0.0
biomass w CCS,0.0
lignite w CCS,0.0
small modular reactor,0.0
hydrogen combustion turbine,0.0
hydrogen combined cycle,0.0
